n: 10
I: [ (1) 51 46 49 52 47 50 53 48 50 53]
S: [ (1) 9 6 5 2 1 10 7 6 3 2]
B: [ (1 1) 0 63 51 60 58 52 55 56 65 0 
     (2 1) 0 0 0 0 0 0 0 0 0 62 
     (3 1) 0 0 0 0 0 0 0 0 0 60 
     (4 1) 0 0 0 0 0 0 0 0 0 52 
     (5 1) 0 0 0 0 0 0 0 0 0 56 
     (6 1) 0 0 0 0 0 0 0 0 0 50 
     (7 1) 0 0 0 0 0 0 0 0 0 63 
     (8 1) 0 0 0 0 0 0 0 0 0 48 
     (9 1) 0 0 0 0 0 0 0 0 0 46 
     (10 1) 0 0 0 0 0 0 0 0 0 0
   ]
D: [ (1 1) 0 1 1 1 1 1 1 1 1 0 
     (2 1) 0 0 0 0 0 0 0 0 0 1 
     (3 1) 0 0 0 0 0 0 0 0 0 1 
     (4 1) 0 0 0 0 0 0 0 0 0 1 
     (5 1) 0 0 0 0 0 0 0 0 0 1 
     (6 1) 0 0 0 0 0 0 0 0 0 1 
     (7 1) 0 0 0 0 0 0 0 0 0 1 
     (8 1) 0 0 0 0 0 0 0 0 0 1 
     (9 1) 0 0 0 0 0 0 0 0 0 1 
     (10 1) 0 0 0 0 0 0 0 0 0 0
   ]
